,Unnamed: 0,id,season,salary,PLAYER_AGE_y,RAPM,POSITION_Center,POSITION_Center-Forward,POSITION_Forward,POSITION_Forward-Center,POSITION_Forward-Guard,POSITION_Guard,POSITION_Guard-Forward,HEIGHT_METER,WEIGHT_KG,DRAFT_NUMBER,DRAFT_YEAR,GP,GS,PTS,AST,STL,BLK,TOV,PF,OREB,DREB,MIN,FG_PCT,FGA,FG3_PCT,FG3A,FT_PCT,FTA,ROOKIE,ROOKIE_AGE,FROM_US,coef_perc_rank,Undrafted,Undrafted_Rookie,log_rapm,RAPM_2,log_rapm_2,log_salary,PLAYER_AGE,PLAYER_AGE_2,BMI,log_BMI,next_season_salary,season_merge,log_next_season_salary,DISPLAY_FIRST_LAST,log_Salary,log_Predicted,Salary,Predicted,log_Difference,Difference
950,950,1629003.0,2020/21,1701593.0,24.0,-0.12,0,0,0,0,0,0,1,1.96,92.99,54.0,2018,63,4,13.0,3.1,0.6,0.3,1.6,2.1,0.5,1.8,23.2,0.45,10.6,0.35,3.2,0.83,2.8,0.0,,1,97.65,0.0,0.0,-0.1278333715098848,0.0144,0.0142973047008244,14.34707601676886,24.0,576.0,24.20605997501041,3.227084440806677,,,,Shake Milton,14.34707601676886,14.351015137007872,1701594.0000000012,1708310.0022500146,-0.003939120239012439,-6716.002250013407
951,951,203524.0,2020/21,2174318.0,30.0,-0.04,0,0,1,0,0,0,0,1.98,102.51,23.0,2013,71,16,4.5,1.1,0.7,0.2,0.6,1.6,0.6,2.4,21.3,0.359,4.2,0.321,3.0,0.7609999999999999,0.6,0.0,,1,99.53,0.0,0.0,-0.0408219945202551,0.0016,0.001598721363697,14.592226070029527,30.0,900.0,26.14784205693297,3.301297560971817,,,,Solomon Hill,14.592226070029527,15.662485255830447,2174319.0000000005,6340608.221676731,-1.0702591858009196,-4166289.22167673
952,952,203915.0,2020/21,11454048.0,28.0,0.72,0,0,0,0,0,1,0,1.98,97.52,38.0,2014,3,3,6.7,3.0,0.7,0.3,1.7,1.3,0.0,4.3,21.4,0.375,5.3,0.286,2.3,1.0,2.0,0.0,,1,71.43,0.0,0.0,0.5423242908253617,0.5184,0.4176571488735263,16.253853849908282,28.0,784.0,24.875012753800632,3.2532777444859198,,,,Spencer Dinwiddie,16.253853849908282,14.901871277660215,11454049.000000019,2963469.5278202887,1.3519825722480672,8490579.47217973
953,953,201939.0,2020/21,43006362.0,33.0,2.31,0,0,0,0,0,1,0,1.88,83.91,7.0,2009,63,63,32.0,5.8,1.2,0.1,3.4,1.9,0.5,5.0,34.2,0.482,21.7,0.421,12.7,0.916,6.3,0.0,,1,48.82,0.0,0.0,1.1969481893889715,5.3361,1.84626343721586,17.576858639454546,33.0,1089.0,23.74094612947035,3.208459609138127,,,,Stephen Curry,17.576858639454546,17.633559501973018,43006363.000000075,45515318.699489415,-0.05670086251847195,-2508955.69948934
954,954,1628425.0,2020/21,1678854.0,26.0,-0.59,0,0,0,0,0,0,1,1.96,99.34,46.0,2017,51,14,8.2,1.4,0.7,0.2,0.8,1.9,0.7,3.6,24.1,0.4479999999999999,6.6,0.423,4.2,0.8059999999999999,0.6,0.0,,1,37.52,0.0,0.0,-0.8915981192837835,0.3480999999999999,0.2986961937148813,14.333622571401234,26.0,676.0,25.859017076218244,3.2906015960926003,,,,Sterling Brown,14.333622571401234,14.76373361733403,1678855.0000000005,2581119.086559716,-0.4301110459327955,-902264.0865597157
955,955,203500.0,2020/21,29592695.0,27.0,0.68,1,0,0,0,0,0,0,2.11,120.2,12.0,2013,58,58,7.6,1.9,0.9,0.7,1.3,1.9,3.7,5.2,27.7,0.614,5.3,0.0,0.1,0.444,2.3,0.0,,0,22.45,0.0,0.0,0.5187937934151676,0.4624000000000001,0.3800789217177486,17.203038132088075,27.0,729.0,26.998495092203683,3.3321507620237867,,,,Steven Adams,17.203038132088075,16.360531589945044,29592696.00000002,12743496.10421204,0.8425065421430311,16849199.895787977
956,956,1629004.0,2020/21,1663861.0,24.0,-1.3,0,0,0,0,0,0,1,2.01,92.99,47.0,2018,30,9,10.3,1.8,0.8,0.2,1.6,1.0,0.4,2.5,23.0,0.4379999999999999,9.4,0.336,4.8,0.7,0.7,0.0,,0,0.86,0.0,0.0,,1.6900000000000002,0.9895411936137478,14.324651964231878,24.0,576.0,23.01675701096508,3.1787517955037985,,,,Svi Mykhailiuk,14.324651964231878,14.688048250383101,1663862.0000000005,2392975.7913202234,-0.36339628615122344,-729113.7913202229
958,958,203933.0,2020/21,12000000.0,27.0,0.22,0,0,1,0,0,0,0,2.03,99.79,14.0,2014,4,4,15.5,1.3,0.5,0.0,1.0,4.0,0.5,3.0,29.3,0.529,12.8,0.0,1.8,0.8,2.5,0.0,,1,40.66,0.0,0.0,0.1988508587451652,0.0484,0.0472651924671142,16.300417291085605,27.0,729.0,24.21558397437454,3.2274622150612,,,,T.J. Warren,16.300417291085605,15.865872351459032,12000001.000000007,7770711.990844166,0.4345449396265728,4229289.009155842
959,959,201959.0,2020/21,3283684.0,36.0,1.78,0,0,1,0,0,0,0,2.06,105.23,26.0,2009,45,3,5.4,0.8,0.7,1.1,0.5,2.2,2.2,3.4,20.8,0.627,3.5,0.2,0.3,0.727,1.2,0.0,,1,87.44,0.0,0.0,1.0224509277025458,3.1684,1.4275322691361354,15.004476825343644,36.0,1296.0,24.797341879536244,3.2502714586948787,,,,Taj Gibson,15.004476825343644,16.143555345580275,3283685.0,10257865.607221026,-1.1390785202366303,-6974180.607221026
960,960,1627752.0,2020/21,12250000.0,27.0,-0.52,0,0,1,0,0,0,0,1.98,98.88,12.0,2016,29,6,10.1,2.4,0.7,0.5,1.2,1.9,0.6,3.1,23.7,0.3989999999999999,8.7,0.415,4.1,0.8370000000000001,1.7,0.0,,1,18.6,0.0,0.0,-0.7339691750802004,0.2704,0.2393318115107342,16.32103657658766,27.0,729.0,25.22191613100704,3.2665955546511904,,,,Taurean Prince,16.32103657658766,15.594818480416693,12250000.999999987,5925753.91789152,0.7262180961709657,6324247.082108467
