,PLAYER_ID,SEASON_ID,TEAM_ID,PLAYER_AGE,GP,GS,MIN,FG_PCT,FGA,FG3_PCT,FG3A,FT_PCT,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,SCORE,id,player_names,position,team
33,201959,2020-21,1610612752.0,36.0,45,3,20.8,0.627,3.5,0.2,0.3,0.727,1.2,2.2,3.4,5.6,0.8,0.7,1.1,0.5,2.2,5.4,19.923174631557018,201959.0,Taj Gibson,F,NYK
34,201960,2015-16,1610612761.0,29.0,20,19,29.8,0.39,8.0,0.329,4.0,0.75,1.8,1.2,2.9,4.1,0.9,0.9,0.4,0.9,3.1,8.9,15.697075513460895,,,,
35,201961,2020-21,1610612765.0,33.0,46,31,22.0,0.441,7.3,0.422,6.0,0.8,0.8,0.3,1.6,1.8,1.5,0.4,0.2,0.7,1.3,9.6,3.754082140383312,201961.0,Wayne Ellington,G,DET
36,201976,2020-21,1610612746.0,32.0,37,34,22.5,0.423,5.9,0.397,3.8,0.8,1.2,0.8,2.4,3.2,2.1,0.8,0.8,0.9,2.9,7.5,0.8894305043530796,201976.0,Patrick Beverley,G,LAC
37,201980,2020-21,1610612755.0,34.0,69,69,28.0,0.412,7.9,0.405,6.3,0.775,0.6,0.8,3.0,3.8,1.7,1.3,0.8,1.0,1.8,9.5,8.734518415465141,201980.0,Danny Green,G,PHI
38,201988,2020-21,1610612759.0,32.0,68,1,24.8,0.412,9.0,0.375,6.3,0.91,1.1,0.3,1.4,1.7,2.4,0.6,0.0,1.0,1.2,10.8,-4.307182256713475,201988.0,Patrick Mills,G,SAS
39,202329,2020-21,1610612753.0,30.0,17,14,21.6,0.404,5.2,0.226,1.8,0.824,1.0,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.3,5.5,3.9194194831022977,,,,
40,202330,2020-21,1610612766.0,31.0,44,44,34.0,0.473,15.0,0.415,4.7,0.843,4.2,0.8,5.0,5.9,4.1,1.2,0.3,2.1,1.7,19.6,8.241429718562555,202330.0,Gordon Hayward,F,CHA
41,202331,2020-21,1610612746.0,31.0,54,54,33.7,0.467,17.6,0.411,7.7,0.868,4.2,0.8,5.8,6.6,5.2,1.1,0.4,3.3,2.4,23.3,1.8404636762263253,202331.0,Paul George,F,LAC
42,202339,2020-21,1610612740.0,31.0,71,70,29.7,0.421,10.3,0.341,5.0,0.687,2.7,0.4,3.0,3.4,3.8,0.8,0.3,1.6,1.6,12.2,4.402702495061578,202339.0,Eric Bledsoe,G,NOP
43,202340,2020-21,1610612745.0,30.0,17,5,23.0,0.314,6.2,0.27,3.7,0.833,0.4,0.4,1.9,2.3,1.9,0.8,0.1,1.1,1.7,5.2,5.428263382156177,202340.0,Avery Bradley,G,HOU
44,202681,2019-20,1610612751.0,28.0,20,20,32.9,0.478,20.8,0.394,7.1,0.922,5.1,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4,0.5116641430266398,202681.0,Kyrie Irving,G,BKN
45,202684,2020-21,1610612738.0,30.0,54,43,23.8,0.518,6.0,0.0,0.1,0.592,2.2,3.1,5.0,8.1,1.2,0.4,0.6,1.1,2.2,7.6,4.697014389331066,202684.0,Tristan Thompson,C,BOS
46,202685,2020-21,1610612763.0,29.0,62,61,28.3,0.592,12.0,0.368,0.9,0.773,3.3,4.1,8.4,12.5,1.8,0.6,0.9,1.6,2.9,17.1,1.346045652960857,202685.0,Jonas Valanciunas,C,MEM
