PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION
203493,2020-21,0,1610612752,NYK,30.0,65,64,1949.0,248,561,0.442,163,398,0.41,50,55,0.909,16,207,223,99,52,11,45,146,709,G
203504,2020-21,0,1610612742,DAL,28.0,62,1,911.0,151,353,0.428,58,164,0.354,51,57,0.895,10,44,54,81,36,7,33,64,411,G
202692,2020-21,0,1610612752,NYK,29.0,49,5,1255.0,210,500,0.42,102,246,0.415,101,118,0.856,21,206,227,107,31,14,49,102,623,G
202710,2020-21,0,1610612748,MIA,31.0,52,52,1745.0,366,736,0.497,25,102,0.245,359,416,0.863,94,265,359,369,108,18,109,71,1116,F
203998,2020-21,0,1610612745,HOU,25.0,6,0,36.0,8,17,0.471,0,5,0.0,1,2,0.5,3,11,14,1,0,2,4,6,17,F
1629719,2020-21,0,1610612747,LAL,24.0,20,1,98.0,17,29,0.586,0,0,0.0,5,11,0.455,12,20,32,1,5,4,5,8,39,F
203484,2020-21,0,1610612747,LAL,28.0,67,67,1902.0,218,506,0.431,120,293,0.41,97,112,0.866,27,152,179,127,62,26,66,114,653,G
1628427,2020-21,0,1610612743,DEN,24.0,41,1,281.0,33,72,0.458,9,33,0.273,10,13,0.769,11,39,50,14,11,2,14,18,85,F
203991,2020-21,0,1610612737,ATL,27.0,63,63,1898.0,413,695,0.594,0,0,0.0,130,227,0.573,297,606,903,49,44,129,73,145,956,C
1628975,2020-21,0,1610612756,PHX,25.0,60,1,717.0,94,223,0.422,56,151,0.371,4,7,0.571,16,76,92,71,29,9,16,56,248,G
1628976,2020-21,0,1610612741,CHI,22.0,32,25,792.0,129,252,0.512,8,22,0.364,82,111,0.739,70,180,250,69,18,24,49,96,348,C
1628976,2020-21,0,1610612753,ORL,22.0,22,19,583.0,101,205,0.493,7,29,0.241,49,68,0.721,62,131,193,35,17,18,29,50,258,C
1628976,2020-21,0,0,TOT,22.0,54,44,1375.0,230,457,0.503,15,51,0.294,131,179,0.732,132,311,443,104,35,42,78,146,606,C
203487,2020-21,0,1610612753,ORL,29.0,31,25,800.0,105,270,0.389,15,61,0.246,49,80,0.613,39,100,139,129,25,17,69,81,274,G
1627936,2020-21,0,1610612747,LAL,27.0,58,6,1216.0,133,305,0.436,55,137,0.401,49,76,0.645,31,139,170,160,64,15,76,108,370,G
1626161,2020-21,0,1610612742,DAL,27.0,53,16,906.0,115,182,0.632,1,11,0.091,49,78,0.628,66,170,236,35,21,43,29,129,280,C
1629185,2020-21,0,1610612751,BKN,25.0,22,1,232.0,31,88,0.352,13,42,0.31,13,17,0.765,3,21,24,65,7,6,16,19,88,G
1627737,2020-21,0,1610612744,GSW,23.0,2,0,27.0,5,14,0.357,1,5,0.2,2,4,0.5,3,10,13,2,0,2,2,3,13,F
1629109,2020-21,0,1610612753,ORL,26.0,35,11,637.0,40,131,0.305,31,108,0.287,8,10,0.8,33,79,112,30,12,7,17,34,119,F
1629109,2020-21,0,1610612743,DEN,26.0,2,0,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,F
1629109,2020-21,0,1610612755,PHI,26.0,2,0,13.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,F
1629109,2020-21,0,0,TOT,26.0,39,11,654.0,40,132,0.303,31,108,0.287,8,10,0.8,33,82,115,31,13,7,17,35,119,F
1629634,2020-21,0,1610612763,MEM,24.0,59,16,1415.0,256,495,0.517,20,77,0.26,78,113,0.69,97,231,328,95,60,51,33,84,610,F
203903,2020-21,0,1610612762,UTA,29.0,68,1,1818.0,457,1075,0.425,208,599,0.347,129,144,0.896,47,227,274,168,61,10,115,110,1251,G
1629651,2020-21,0,1610612751,BKN,22.0,32,1,594.0,90,145,0.621,1,5,0.2,31,64,0.484,43,123,166,28,23,40,18,68,212,F
1629599,2020-21,0,1610612746,LAC,24.0,44,1,395.0,45,103,0.437,23,56,0.411,27,38,0.711,10,34,44,22,10,0,15,30,140,G
1628381,2020-21,0,1610612737,ATL,23.0,63,63,1848.0,429,771,0.556,83,208,0.399,170,204,0.833,118,349,467,78,34,63,84,193,1111,F
201144,2020-21,0,1610612762,UTA,33.0,51,51,1498.0,284,640,0.444,138,335,0.412,121,142,0.852,36,141,177,305,70,9,99,98,827,G
1626192,2020-21,0,1610612749,MIL,28.0,69,4,1575.0,168,387,0.434,101,272,0.371,31,40,0.775,63,269,332,81,49,23,33,99,468,G
1626188,2020-21,0,1610612747,LAL,28.0,16,0,62.0,12,26,0.462,5,13,0.385,4,5,0.8,0,5,5,5,1,1,3,2,33,G
1626188,2020-21,0,1610612739,CLE,28.0,7,0,95.0,17,42,0.405,6,13,0.462,3,3,1.0,2,10,12,13,3,0,4,8,43,G
1626188,2020-21,0,0,TOT,28.0,23,0,157.0,29,68,0.426,11,26,0.423,7,8,0.875,2,15,17,18,4,1,7,10,76,G
1629076,2020-21,0,1610612751,BKN,23.0,4,0,17.0,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,2,0,0,1,2,2,F
1629076,2020-21,0,1610612765,DET,23.0,28,1,421.0,68,100,0.68,1,2,0.5,17,35,0.486,27,66,93,15,8,2,20,33,154,F
1629076,2020-21,0,0,TOT,23.0,32,1,437.0,69,103,0.67,1,2,0.5,17,35,0.486,28,67,95,17,8,2,21,35,156,F
202326,2020-21,0,1610612745,HOU,30.0,25,11,506.0,79,210,0.376,39,116,0.336,44,59,0.746,30,161,191,60,21,18,39,74,241,C
202326,2020-21,0,1610612746,LAC,30.0,16,0,207.0,51,95,0.537,8,19,0.421,15,22,0.682,23,49,72,16,13,6,25,33,125,C
202326,2020-21,0,0,TOT,30.0,41,11,713.0,130,305,0.426,47,135,0.348,59,81,0.728,53,210,263,76,34,24,64,107,366,C
203496,2020-21,0,1610612757,POR,30.0,70,70,2243.0,204,509,0.401,135,356,0.379,50,62,0.806,61,405,466,117,101,84,64,195,593,F
1628470,2020-21,0,1610612749,MIL,30.0,18,0,201.0,18,46,0.391,8,22,0.364,1,2,0.5,13,30,43,16,9,7,5,24,45,F
1628470,2020-21,0,1610612756,PHX,30.0,32,8,602.0,91,181,0.503,31,84,0.369,16,20,0.8,44,110,154,33,19,20,20,59,229,F
1628470,2020-21,0,0,TOT,30.0,50,8,803.0,109,227,0.48,39,106,0.368,17,22,0.773,57,140,197,49,28,27,25,83,274,F
203109,2020-21,0,1610612756,PHX,30.0,60,42,1648.0,199,492,0.404,148,380,0.389,57,75,0.76,32,250,282,127,48,27,55,125,603,F
1629633,2020-21,0,1610612750,MIN,22.0,34,7,499.0,69,168,0.411,13,53,0.245,29,48,0.604,34,70,104,24,17,9,28,58,180,G
203552,2020-21,0,1610612755,PHI,30.0,57,57,1638.0,258,552,0.467,126,280,0.45,69,77,0.896,10,126,136,155,44,8,65,96,711,G
201939,2020-21,0,1610612744,GSW,33.0,63,63,2152.0,658,1365,0.482,337,801,0.421,362,395,0.916,29,316,345,363,77,8,213,119,2015,G
203076,2020-21,0,1610612747,LAL,28.0,36,36,1162.0,301,613,0.491,26,100,0.26,158,214,0.738,62,224,286,110,45,59,74,60,786,F
202334,2020-21,0,1610612750,MIN,32.0,23,7,299.0,19,44,0.432,0,0,0.0,10,12,0.833,46,69,115,21,13,13,7,56,48,C
1629056,2020-21,0,1610612761,TOR,24.0,34,4,493.0,87,210,0.414,44,122,0.361,16,18,0.889,9,57,66,37,17,7,29,48,234,G
1629056,2020-21,0,1610612758,SAC,24.0,27,0,581.0,108,246,0.439,54,145,0.372,29,37,0.784,11,77,88,46,27,7,34,49,299,G
1629056,2020-21,0,0,TOT,24.0,61,4,1074.0,195,456,0.428,98,267,0.367,45,55,0.818,20,134,154,83,44,14,63,97,533,G
201942,2020-21,0,1610612759,SAS,31.0,61,61,2056.0,455,920,0.495,19,74,0.257,387,440,0.88,40,219,259,422,56,15,119,128,1316,G
203473,2020-21,0,1610612748,MIA,31.0,16,0,210.0,46,65,0.708,1,5,0.2,20,27,0.741,28,58,86,12,9,6,13,36,113,C
203521,2020-21,0,1610612739,CLE,30.0,13,1,224.0,14,56,0.25,4,25,0.16,4,4,1.0,6,18,24,58,4,1,6,21,36,G
1628978,2020-21,0,1610612749,MIL,24.0,66,66,1815.0,253,603,0.42,131,346,0.379,51,71,0.718,81,299,380,203,72,15,91,112,688,G
1628977,2020-21,0,1610612760,OKC,22.0,32,5,761.0,143,297,0.481,12,41,0.293,83,132,0.629,37,128,165,77,31,12,49,83,381,G
1628977,2020-21,0,1610612765,DET,22.0,20,4,465.0,81,173,0.468,16,41,0.39,45,68,0.662,22,85,107,24,10,12,27,51,223,G
1628977,2020-21,0,0,TOT,22.0,52,9,1226.0,224,470,0.477,28,82,0.341,128,200,0.64,59,213,272,101,41,24,76,134,604,G
203476,2020-21,0,1610612763,MEM,31.0,22,1,371.0,56,108,0.519,23,48,0.479,38,43,0.884,28,70,98,29,17,14,22,38,173,C
203476,2020-21,0,1610612759,SAS,31.0,16,0,181.0,29,55,0.527,7,22,0.318,20,24,0.833,12,30,42,19,9,2,10,18,85,C
203476,2020-21,0,0,TOT,31.0,38,1,553.0,85,163,0.521,30,70,0.429,58,67,0.866,40,100,140,48,26,16,32,56,258,C
203915,2020-21,0,1610612751,BKN,28.0,3,3,64.0,6,16,0.375,2,7,0.286,6,6,1.0,0,13,13,9,2,1,5,4,20,G
1629029,2020-21,0,1610612742,DAL,22.0,66,66,2262.0,647,1351,0.479,192,548,0.35,344,471,0.73,54,473,527,567,64,36,281,152,1830,F
1629652,2020-21,0,1610612760,OKC,22.0,52,52,1543.0,247,639,0.387,113,329,0.343,122,164,0.744,38,151,189,88,45,19,79,134,729,G
1628422,2020-21,0,1610612739,CLE,27.0,46,7,907.0,119,293,0.406,46,159,0.289,24,36,0.667,5,88,93,91,16,4,42,42,308,G
1629635,2020-21,0,1610612765,DET,20.0,56,11,869.0,107,282,0.379,26,115,0.226,45,64,0.703,39,104,143,47,24,9,44,94,285,F
1628408,2020-21,0,1610612743,DEN,24.0,50,6,1088.0,148,355,0.417,47,149,0.315,42,66,0.636,35,147,182,92,31,22,46,86,385,G
201609,2020-21,0,1610612748,MIA,35.0,50,11,1337.0,240,555,0.432,91,244,0.373,101,122,0.828,25,144,169,219,33,8,118,113,672,G
203083,2020-21,0,1610612739,CLE,27.0,25,25,722.0,180,380,0.474,0,8,0.0,77,129,0.597,101,236,337,64,40,29,81,69,437,C
203083,2020-21,0,1610612747,LAL,27.0,21,21,520.0,102,192,0.531,0,0,0.0,46,76,0.605,65,149,214,30,23,20,43,80,250,C
203083,2020-21,0,0,TOT,27.0,46,46,1242.0,282,572,0.493,0,8,0.0,123,205,0.6,166,385,551,94,63,49,124,149,687,C
201162,2020-21,0,1610612747,LAL,35.0,12,0,81.0,2,9,0.222,2,6,0.333,0,0,0.0,4,17,21,5,1,1,2,7,6,F
1627739,2020-21,0,1610612737,ATL,27.0,4,0,45.0,1,12,0.083,0,2,0.0,3,4,0.75,0,6,6,2,2,2,3,10,5,G
201142,2020-21,0,1610612751,BKN,32.0,35,32,1157.0,324,603,0.537,85,189,0.45,210,238,0.882,13,234,247,195,25,45,120,70,943,F
1629035,2020-21,0,1610612738,BOS,23.0,31,1,276.0,47,111,0.423,18,63,0.286,11,13,0.846,3,23,26,14,7,1,7,25,123,G
1627740,2020-21,0,1610612761,TOR,24.0,2,0,38.0,5,14,0.357,2,9,0.222,3,4,0.75,3,9,12,5,0,0,0,7,15,F
201961,2020-21,0,1610612765,DET,33.0,46,31,1012.0,149,338,0.441,116,275,0.422,28,35,0.8,12,73,85,67,18,9,33,59,442,G
203954,2020-21,0,1610612755,PHI,27.0,51,51,1585.0,461,899,0.513,58,154,0.377,471,548,0.859,113,426,539,145,50,69,159,123,1451,C
203516,2020-21,0,1610612753,ORL,30.0,41,37,986.0,115,243,0.473,45,104,0.433,70,87,0.805,43,123,166,62,32,7,36,84,345,F
1629234,2020-21,0,1610612759,SAS,24.0,54,3,755.0,116,205,0.566,2,2,1.0,77,106,0.726,74,167,241,42,18,49,45,88,311,F
203957,2020-21,0,1610612739,CLE,25.0,6,3,116.0,10,26,0.385,2,11,0.182,1,2,0.5,2,15,17,13,4,2,7,9,23,G
1629605,2020-21,0,1610612738,BOS,25.0,19,0,136.0,21,29,0.724,0,0,0.0,5,15,0.333,16,36,52,3,1,20,6,22,47,C
202324,2020-21,0,1610612762,UTA,29.0,68,0,1039.0,155,243,0.638,0,2,0.0,59,80,0.738,138,238,376,44,32,68,36,143,369,F
1626245,2020-21,0,1610612741,CHI,28.0,18,0,84.0,7,13,0.538,0,2,0.0,9,16,0.563,10,16,26,9,4,0,4,10,23,F
1628390,2020-21,0,1610612755,PHI,23.0,13,0,49.0,1,7,0.143,0,5,0.0,0,0,0.0,0,1,1,2,1,0,4,7,2,G
1628981,2020-21,0,1610612737,ATL,22.0,33,0,226.0,18,44,0.409,0,2,0.0,15,22,0.682,16,62,78,10,4,3,21,23,51,F
1627812,2020-21,0,1610612739,CLE,28.0,2,0,41.0,8,21,0.381,3,9,0.333,0,2,0.0,3,4,7,5,3,1,3,4,19,G
1627812,2020-21,0,1610612746,LAC,28.0,8,0,96.0,12,36,0.333,6,19,0.316,7,7,1.0,2,10,12,17,4,2,0,7,37,G
1627812,2020-21,0,0,TOT,28.0,10,0,137.0,20,57,0.351,9,28,0.321,7,9,0.778,5,14,19,22,7,3,3,11,56,G
1627827,2020-21,0,1610612742,DAL,28.0,60,60,1921.0,220,466,0.472,119,302,0.394,31,41,0.756,98,228,326,102,52,25,48,138,590,F
