,PLAYER_ID,SCORE,id,player_names,position,team
327,202695,-0.2634823978371867,202695,Kawhi Leonard,F,LAC
108,1628976,-0.2658447943599441,1628976,Wendell Carter,C,ORL
119,1628995,-0.26729136647374796,1628995,Kevin Knox,F,NYK
292,201588,-0.2703116252397201,201588,George Hill,G,PHI
291,201587,-0.2735983145598862,201587,Nicolas Batum,G,LAC
37,1627751,-0.28224630031424497,1627751,Jakob Poeltl,C,SAS
35,1627749,-0.28424734485124614,1627749,Dejounte Murray,G,SAS
389,203920,-0.29955817276359764,203920,Khem Birch,C,TOR
64,1628368,-0.3023494302211664,1628368,De'Aaron Fox,G,SAC
401,203954,-0.3075458796977464,203954,Joel Embiid,C,PHI
80,1628398,-0.3142827716344034,1628398,Kyle Kuzma,F,LAL
70,1628374,-0.31851662932130165,1628374,Lauri Markkanen,F,CHI
409,204456,-0.3244159783259082,204456,TJ McConnell,G,IND
405,203994,-0.32654615367458645,203994,Jusuf Nurkic,C,POR
406,203999,-0.33992110575057555,203999,Nikola Jokic,C,DEN
146,1629067,-0.34433972365004356,1629067,Isaac Bonga,G,WAS
102,1628969,-0.3445698876752871,1628969,Mikal Bridges,F,PHX
391,203925,-0.34492801636787507,203925,Joe Harris,G,BKN
109,1628977,-0.3587070405110649,1628977,Hamidou Diallo,G,DET
387,203915,-0.3702497061288283,203915,Spencer Dinwiddie,G,BKN
363,203482,-0.37238271331149436,203482,Kelly Olynyk,F,HOU
1,101150,-0.37383337659736965,101150,Louis Williams,G,ATL
178,1629642,-0.37583320263769093,1629642,Nassir Little,F,POR
325,202693,-0.37585143405875643,202693,Markieff Morris,F,LAL
309,202324,-0.3837176909515915,202324,Derrick Favors,F,UTA
320,202684,-0.39301355420379364,202684,Tristan Thompson,C,BOS
346,203095,-0.40100391795038176,203095,Evan Fournier,G,BOS
106,1628973,-0.4059251202096626,1628973,Jalen Brunson,G,DAL
321,202685,-0.407369322293823,202685,Jonas Valanciunas,C,MEM
61,1628365,-0.4213702712068674,1628365,Markelle Fultz,G,ORL
352,203145,-0.423235327657399,203145,Kent Bazemore,G,GSW
403,203991,-0.42628874941137584,203991,Clint Capela,C,ATL
