,0
765,203507
766,203516
767,203521
768,203524
769,203526
770,203552
771,203584
772,203585
773,203658
774,203894
775,203895
776,203897
777,203903
778,203914
779,203915
780,203918
781,203922
782,203924
783,203925
784,203926
785,203932
786,203933
787,203935
788,203937
789,203939
790,203943
791,203944
792,203952
793,203953
794,203954
795,203957
796,203960
797,203967
798,203991
799,203992
800,203998
801,203999
802,204001
803,204020
804,204025
805,204038
806,204060
807,204456
808,2546
809,2594
810,2730
811,2772
812,101107
813,101108
814,101133
815,101139
816,101141
817,101150
818,1626143
819,1626144
820,1626145
821,1626149
822,1626153
823,1626156
824,1626157
825,1626158
826,1626161
827,1626162
828,1626163
829,1626164
830,1626167
831,1626168
832,1626171
833,1626172
834,1626174
835,1626178
836,1626179
837,1626181
838,1626188
839,1626192
840,1626195
841,1626196
842,1626203
843,1626204
844,1626209
845,1626220
846,1626224
847,1626246
848,1626259
849,1627732
850,1627734
851,1627736
852,1627737
853,1627739
854,1627741
855,1627742
856,1627745
857,1627746
858,1627747
859,1627748
860,1627749
861,1627750
862,1627751
863,1627752
864,1627756
865,1627759
866,1627761
867,1627763
868,1627767
869,1627774
870,1627775
871,1627777
872,1627780
873,1627783
874,1627788
875,1627789
876,1627790
877,1627812
878,1627814
879,1627820
880,1627823
881,1627826
882,1627827
883,1627832
884,1627846
885,1627853
886,1627854
887,1627863
888,1627884
889,1627885
890,1627936
891,1628021
892,1628035
893,1628365
894,1628366
895,1628368
896,1628369
897,1628370
898,1628371
899,1628372
900,1628373
901,1628374
902,1628378
903,1628379
904,1628380
905,1628382
906,1628384
907,1628385
908,1628386
909,1628388
910,1628389
911,1628390
912,1628391
913,1628392
914,1628394
915,1628395
916,1628396
917,1628398
918,1628400
919,1628401
920,1628403
921,1628404
922,1628407
923,1628410
924,1628411
925,1628413
926,1628415
927,1628418
928,1628422
929,1628425
930,1628430
931,1628436
932,1628449
933,1628464
934,1628467
935,1628470
936,1628476
937,1628518
938,1628963
939,1628964
940,1628966
941,1628969
942,1628970
943,1628971
944,1628972
945,1628973
946,1628975
947,1628976
948,1628977
949,1628978
950,1628980
951,1628981
952,1628983
953,1628984
954,1628988
955,1628989
956,1628990
957,1628991
958,1628995
959,1628997
960,1628998
961,1629001
962,1629002
963,1629003
964,1629004
965,1629006
966,1629008
967,1629010
968,1629011
969,1629012
970,1629013
971,1629014
972,1629016
973,1629018
974,1629019
975,1629020
976,1629021
977,1629022
978,1629023
979,1629026
980,1629027
981,1629028
982,1629029
983,1629033
984,1629035
985,1629048
986,1629056
987,1629057
988,1629058
989,1629059
990,1629060
991,1629065
992,1629066
993,1629067
994,1629103
995,1629109
996,1629117
997,1629126
998,1629130
999,1629134
1000,1629164
1001,1629234
1002,1629346
1003,1629597
1004,1629605
1005,1629608
1006,1629628
1007,1629629
1008,1629630
1009,1629631
1010,1629632
1011,1629633
1012,1629634
1013,1629636
1014,1629637
1015,1629638
1016,1629639
1017,1629641
1018,1629642
1019,1629645
1020,1629647
1021,1629648
1022,1629649
1023,1629650
1024,1629651
1025,1629652
1026,1629655
1027,1629660
1028,1629661
1029,1629668
1030,1629671
1031,1629672
1032,1629673
1033,1629675
1034,1629678
1035,1629680
1036,1629684
1037,1629735
1038,1629738
1039,1629740
1040,1629741
1041,1629742
1042,1629744
1043,1629750
1044,1713
1045,200746
1046,200752
1047,200757
1048,200765
1049,200768
1050,200782
1051,200794
1052,201143
1053,201144
1054,201145
1055,201152
1056,201158
1057,201162
1058,201163
1059,201188
1060,201229
1061,201565
1062,201566
1063,201567
1064,201568
1065,201572
1066,201577
1067,201580
1068,201584
1069,201586
