Taj Gibson;14000000;15528337
Robin Lopez;13788500;15293749
JR Smith;13760000;15262137
James Johnson;13734000;15233299
Joe Ingles;13636364;15125004
Brandon Knight;13618750;15105467
Marvin Williams;13168750;14606342
Tyson Chandler;13000000;14419170
Michael Kidd-Gilchrist;13000000;14419170
Eric Gordon;12943020;14355970
Thaddeus Young;12921348;14331932
Kenneth Faried;12921348;14331932
Marcin Gortat;12782609;14178047
Cody Zeller;12584270;13958056
Nikola Mirotic;12500000;13864587
Miles Plumlee;12400000;13753670
Zach Randolph;12307692;13651285
Nikola Vucevic;12250000;13587295
Solomon Hill;12236535;13572360
Dion Waiters;12100000;13420920
Wilson Chandler;12016854;13328697
Kelly Olynyk;12007169;13317955
Derrick Favors;12000000;13310003
Kemba Walker;12000000;13310003
Jeremy Lin;12000000;13310003
Austin Rivers;11825000;13115899
Courtney Lee;11747890;13030371
Nikola Pekovic;11600000;12866337
Jordan Clarkson;11562500;12824743
John Henson;11422536;12669499
Amir Johnson;11000000;12200836
Alec Burks;10845506;12029477
Patrick Mills;10714286;11883932
Moe Harkless;10662922;11826961
Omer Asik;10595505;11752184
Terrence Ross;10500000;11646253
Mirza Teletovic;10500000;11646253
Bojan Bogdanovic;10500000;11646253
Jon Leuer;10497319;11643279
Iman Shumpert;10337079;11465546
Joe Johnson;10254904;11374400
Danny Green;10000000;11091669
Jared Dudley;10000000;11091669
Darren Collison;10000000;11091669
Meyers Leonard;9904495;10985738
Tony Snell;9821429;10893604
Al Jefferson;9769821;10836362
Matthew Dellavedova;9607500;10656321
Trevor Booker;9571137;10615988
Bogdan Bogdanovic;9470614;10504492
Andre Roberson;9259260;10270065
Dwight Powell;9003125;9985969
Jerryd Bayless;9000000;9982502
Avery Bradley;8808989;9770639
JaMychal Green;8533333;9464891
E'Twaun Moore;8445024;9366941
Rudy Gay;8406000;9323657
Kosta Koufos;8393000;9309238
Corey Brewer;8105615;8990480
Markieff Morris;8000000;8873335
Vince Carter;8000000;8873335
Garrett Temple;8000000;8873335
CJ Miles;7936509;8802913
Cristiano Felicio;7843500;8699751
Shaun Livingston;7692308;8532054
Cory Joseph;7630000;8462944
PJ Tucker;7590035;8418616
Andrew Wiggins;7574322;8401187
Darrell Arthur;7464912;8279833
Channing Frye;7420912;8231030
Trevor Ariza;7400000;8207835
Al-Farouq Aminu;7319035;8118032
Cole Aldrich;7300000;8096919
DJ Augustin;7250000;8041460
Marco Belinelli;7082277;7855427
Markelle Fultz;7026240;7793273
Louis Williams;7000000;7764168
Kyle Korver;7000000;7764168
Jeremy Lamb;7000000;7764168
Jameer Nelson;6998920;7762970
Dewayne Dedmon;6900000;7653252
Jae Crowder;6796117;7538028
Jabari Parker;6782392;7522805
Langston Galloway;6666667;7394446
Lance Thomas;6655325;7381866
Ersan Ilyasova;6514288;7225432
Matt Barnes;6400625;7099361
Ed Davis;6352531;7046017
Jonathon Simmons;6300000;6987752
Rajon Rondo;6300000;6987751
Lonzo Ball;6286560;6972844
Wayne Ellington;6270000;6954477
Isaiah Thomas;6261394;6944931
Karl-Anthony Towns;6216840;6895513
Ben Simmons;6168840;6842273
Joel Embiid;6100266;6766213
Josh McRoberts;6021175;6678488
Alan Williams;6000000;6655001
Shelvin Mack;6000000;6655001
Milos Teodosic;6000000;6655001
Ishmael Smith;6000000;6655001
Brandan Wright;5955760;6605932
Boban Marjanovic;5881260;6523299
Wesley Johnson;5881260;6523299
Tyler Johnson;5821260;6456749
Alex Abrines;5725000;6349981
Jayson Tatum;5645400;6261691
D'Angelo Russell;5562360;6169586
Brandon Ingram;5519400;6121936
Josh Smith;5514806;6116839
Patrick Beverley;5513514;6115407
Aaron Gordon;5504419;6105319
Deron Williams;5474787;6072453
Arron Afflalo;5328652;5910364
Anthony Tolliver;5290000;5867492
Thabo Sefolosha;5250000;5823126
Jason Smith;5225000;5795397
Ben McLemore;5200000;5767668
Patrick Patterson;5192000;5758795
Nick Young;5192000;5758795
Josh Jackson;5090040;5645704
Larry Sanders;5000000;5545834
Dirk Nowitzki;5000000;5545834
Marcus Morris;5000000;5545834
Mike Muscala;5000000;5545834
Jahlil Okafor;4995120;5540422
Dante Exum;4992385;5537388
Alexis Ajinca;4961798;5503462
Jaylen Brown;4956480;5497564
Richard Jefferson;4828652;5355780
Sean Kilpatrick;4774445;5295654
Kyle Singler;4666500;5175927
De'Aaron Fox;4609200;5112372
Marcus Smart;4538019;5033420
Kristaps Porzingis;4503600;4995244
Justin Holiday;4500000;4991251
Dragan Bender;4468800;4956645
Devin Harris;4402546;4883158
Ron Baker;4328000;4800474
Aron Baynes;4300000;4769418
Alex Len;4187599;4644746
Nerlens Noel;4187599;4644746
Jonathan Isaac;4186320;4643327
Lance Stephenson;4180000;4636318
Julius Randle;4149242;4602202
Kyle O'Quinn;4087500;4533720
Mario Hezonja;4078320;4523537
Kris Dunn;4046760;4488532
Noah Vonleh;4031018;4471072
Jonas Jerebko;4000000;4436667
Nemanja Bjelica;3950000;4381209
Jose Juan Barea;3903900;4330077
Quincy Pondexter;3853931;4274653
Lauri Markkanen;3821640;4238836
Nik Stauskas;3807146;4222760
Willie Cauley-Stein;3704160;4108531
Paul Pierce;3679840;4081557
Buddy Hield;3675480;4076721
Will Barton;3533333;3919056
Frank Ntilikina;3501120;3883326
Lavoy Allen;3500000;3882084
Nenê;3477600;3857239
Zaza Pachulia;3477600;3857239
Troy Daniels;3408520;3780617
Emmanuel Mudiay;3381480;3750625
Jamal Murray;3355320;3721610
Elfrid Payton;3332340;3696121
Doug McDermott;3294994;3654698
Jodie Meeks;3290000;3649159
Tyreke Evans;3290000;3649159
Tarik Black;3290000;3649159
Dennis Smith;3218280;3569609
Zach LaVine;3202217;3551793
Ekpe Udoh;3200000;3549334
TJ Warren;3152930;3497125
