,PLAYER_ID,SCORE,id,player_names,position,team
97,1628964,1.0663918354108346,1628964,Mo Bamba,C,ORL
16,1626171,1.0570335793366124,1626171,Bobby Portis,F,MIL
187,1629660,1.0240821436754293,1629660,Ty Jerome,G,OKC
271,200782,0.9702370106924615,200782,PJ Tucker,F,MIL
155,1629604,0.9534224754537897,1629604,CJ Elleby,F,POR
392,203937,0.9477116458113108,203937,Kyle Anderson,F,MEM
200,1629681,0.9407282446576676,1629681,Killian Tillie,F,MEM
138,1629048,0.9128788598892587,1629048,Goga Bitadze,C,IND
83,1628415,0.890757076677685,1628415,Dillon Brooks,G,MEM
106,1628977,0.8457852148837292,1628977,Hamidou Diallo,G,DET
35,1627749,0.8215648479501244,1627749,Dejounte Murray,G,SAS
297,201949,0.7928522598831425,201949,James Johnson,F,NOP
55,1627854,0.7436455082607139,1627854,Bryn Forbes,G,MIL
362,203487,0.7185969367173218,203487,Michael Carter-Williams,G,ORL
393,203939,0.6834566231695085,203939,Dwight Powell,F,DAL
383,203915,0.6555964608192633,203915,Spencer Dinwiddie,G,BKN
183,1629652,0.6510162464857778,1629652,Luguentz Dort,G,OKC
275,201144,0.6394763973188569,201144,Mike Conley,G,UTA
128,1629014,0.6386937633002839,1629014,Anfernee Simons,G,POR
370,203503,0.6352294843775027,203503,Tony Snell,G,ATL
66,1628372,0.6336175155969078,1628372,Dennis Smith,G,DET
352,203458,0.624113257278124,203458,Alex Len,C,WAS
244,1630201,0.6223356925177101,1630201,Malachi Flynn,G,TOR
166,1629632,0.6162738377538813,1629632,Coby White,G,CHI
181,1629650,0.6038266191544513,1629650,Moses Brown,C,OKC
318,202685,0.5969831364973872,202685,Jonas Valanciunas,C,MEM
243,1630200,0.5905149288418751,1630200,Tre Jones,G,SAS
57,1627884,0.5758281453963424,1627884,Derrick Jones,F,POR
355,203469,0.5748273392486842,203469,Cody Zeller,F,CHA
205,1629719,0.5392116161562209,1629719,Devontae Cacok,F,LAL
292,201933,0.5359064799521518,201933,Blake Griffin,F,BKN
387,203925,0.49526200611858395,203925,Joe Harris,G,BKN
7,1626158,0.4787806761439169,1626158,Richaun Holmes,F,SAC
167,1629633,0.4153147527135541,1629633,Jarrett Culver,G,MIN
129,1629018,0.4078435754222639,1629018,Gary Trent Jr,G,TOR
341,203090,0.3875096430725455,203090,Moe Harkless,F,SAC
209,1629744,0.37667283878439833,1629744,Matt Thomas,G,UTA
407,2546,0.3662446519940791,2546,Carmelo Anthony,F,POR
60,1628365,0.347552131543728,1628365,Markelle Fultz,G,ORL
240,1630194,0.318308498520379,1630194,Paul Reed,F,PHI
44,1627777,0.3164015357650213,1627777,Georges Niang,F,UTA
