Marvin Williams;12250000;13809242
Stephen Curry;12112359;13654081
Nikola Pekovic;12100000;13640149
Thaddeus Young;12078652;13616084
Kenneth Faried;12078652;13616084
Marcin Gortat;12000000;13527421
Kyle Lowry;12000000;13527421
Kemba Walker;12000000;13527421
Amir Johnson;12000000;13527421
Nikola Vucevic;11750000;13245599
Solomon Hill;11709603;13200060
Jeremy Lin;11483254;12944901
Andrew Bogut;11410378;12862748
Courtney Lee;11242000;12672939
Wilson Chandler;11233146;12662958
Andre Iguodala;11131368;12548225
Derrick Favors;11050000;12456500
Joe Johnson;11000000;12400136
Jrue Holiday;11000000;12400136
Austin Rivers;11000000;12400136
Jon Leuer;10991957;12391069
Anderson Varejao;10851659;12232913
Monta Ellis;10763500;12133533
Mirza Teletovic;10500000;11836493
Jared Dudley;10470000;11802674
Al Jefferson;10230179;11532328
Tyreke Evans;10203755;11502540
Danny Green;10000000;11272850
Terrence Ross;10000000;11272850
Zach Randolph;10000000;11272850
Alec Burks;9904495;11165189
Omer Asik;9904494;11165188
Iman Shumpert;9662922;10892867
Matthew Dellavedova;9607500;10830391
Jerryd Bayless;9424084;10623629
Trevor Booker;9250000;10427387
Meyers Leonard;9213484;10386223
Gerald Henderson;9000000;10145565
Moe Harkless;8988764;10132899
Taj Gibson;8950000;10089201
E'Twaun Moore;8801363;9921645
Kris Humphries;8630000;9728470
Ersan Ilyasova;8400000;9469194
Dwight Powell;8375000;9441012
Avery Bradley;8269663;9322267
Tiago Splitter;8250000;9300102
Darrell Arthur;8070175;9097388
Kosta Koufos;8046500;9070699
George Hill;8000000;9018280
Anthony Tolliver;8000000;9018280
Garrett Temple;8000000;9018280
Kevin Garnett;8000000;9018280
Jeff Teague;8000000;9018280
Tyler Zeller;8000000;9018280
Channing Frye;7806971;8800682
Trevor Ariza;7800000;8792823
Jose Calderon;7708427;8689594
Al-Farouq Aminu;7680965;8658637
Cole Aldrich;7643979;8616943
Corey Brewer;7612172;8581088
Markieff Morris;7400000;8341909
Festus Ezeli;7400000;8341909
JJ Redick;7377500;8316545
Cory Joseph;7315000;8246090
DJ Augustin;7250000;8172816
Boris Diaw;7000000;7890995
Rodney Stuckey;7000000;7890995
Louis Williams;7000000;7890995
Jeremy Lamb;7000000;7890995
Sergio Rodriguez;6800000;7665538
Carl Landry;6750000;7609174
Ed Davis;6666667;7515234
Isaiah Thomas;6587131;7425574
Victor Oladipo;6552960;7387054
Jodie Meeks;6540000;7372444
Matt Barnes;6508351;7336766
Aron Baynes;6500000;7327353
Marco Belinelli;6333333;7139471
Jae Crowder;6286408;7086574
Lance Thomas;6191000;6979022
Tarik Black;6191000;6979022
Andrew Nicholson;6088993;6864031
Patrick Patterson;6050000;6820074
Andrew Wiggins;6006600;6771150
Wayne Ellington;6000000;6763710
Patrick Beverley;6000000;6763710
Ishmael Smith;6000000;6763710
Ramon Sessions;6000000;6763710
Alex Abrines;5994764;6757808
