,GAME_ID
7930,0021700273
7931,0021700273
7932,0021700278
7933,0021700278
7934,0021700284
7935,0021700284
7936,0021700282
7937,0021700282
7938,0021700285
7939,0021700285
7940,0021700281
7941,0021700281
7942,0021700280
7943,0021700280
7944,0021700283
7945,0021700283
7946,0021700286
7947,0021700286
7948,0021700277
7949,0021700277
7950,0021700279
7951,0021700279
7952,0021700287
7953,0021700287
7954,0021700288
7955,0021700288
7956,0021700289
7957,0021700289
7958,0021700291
7959,0021700291
7960,0021700296
7961,0021700296
7962,0021700295
7963,0021700295
7964,0021700293
7965,0021700293
7966,0021700292
7967,0021700292
7968,0021700297
7969,0021700297
7970,0021700294
7971,0021700294
7972,0021700290
7973,0021700290
7974,0021700299
7975,0021700299
7976,0021700298
7977,0021700298
7978,0021700301
7979,0021700301
7980,0021700302
7981,0021700302
7982,0021700300
7983,0021700300
7984,0021700305
7985,0021700305
7986,0021700311
7987,0021700311
7988,0021700312
7989,0021700312
7990,0021700306
7991,0021700306
7992,0021700304
7993,0021700304
7994,0021700308
7995,0021700308
7996,0021700303
7997,0021700303
7998,0021700310
7999,0021700310
8000,0021700307
8001,0021700307
8002,0021700309
8003,0021700309
8004,0021700314
8005,0021700314
8006,0021700317
8007,0021700317
8008,0021700316
8009,0021700316
8010,0021700313
8011,0021700313
8012,0021700315
8013,0021700315
8014,0021700322
8015,0021700322
8016,0021700318
8017,0021700318
8018,0021700321
8019,0021700321
8020,0021700325
8021,0021700325
8022,0021700320
8023,0021700320
8024,0021700319
8025,0021700319
8026,0021700324
8027,0021700324
8028,0021700323
8029,0021700323
8030,0021700330
8031,0021700330
8032,0021700328
8033,0021700328
8034,0021700326
8035,0021700326
8036,0021700329
8037,0021700329
8038,0021700333
8039,0021700333
8040,0021700331
8041,0021700331
8042,0021700327
8043,0021700327
8044,0021700332
8045,0021700332
8046,0021700338
8047,0021700338
8048,0021700334
8049,0021700334
8050,0021700335
8051,0021700335
8052,0021700336
8053,0021700336
8054,0021700337
8055,0021700337
8056,0021700341
8057,0021700341
8058,0021700348
8059,0021700348
8060,0021700344
8061,0021700344
8062,0021700343
8063,0021700343
8064,0021700349
8065,0021700349
8066,0021700340
8067,0021700340
8068,0021700342
8069,0021700342
8070,0021700347
8071,0021700347
8072,0021700339
8073,0021700339
8074,0021700345
8075,0021700345
8076,0021700346
8077,0021700346
8078,0021700352
8079,0021700352
8080,0021700350
8081,0021700350
8082,0021700351
8083,0021700351
8084,0021700361
8085,0021700361
8086,0021700357
8087,0021700357
8088,0021700356
8089,0021700356
8090,0021700362
8091,0021700362
8092,0021700355
8093,0021700355
8094,0021700353
8095,0021700353
8096,0021700359
8097,0021700359
8098,0021700354
8099,0021700354
8100,0021700358
8101,0021700358
8102,0021700360
8103,0021700360
8104,0021700363
8105,0021700363
8106,0021700364
8107,0021700364
8108,0021700365
8109,0021700365
8110,0021700366
8111,0021700366
8112,0021700374
8113,0021700374
8114,0021700370
8115,0021700370
8116,0021700368
8117,0021700368
8118,0021700372
8119,0021700372
8120,0021700369
8121,0021700369
8122,0021700367
8123,0021700367
8124,0021700371
8125,0021700371
8126,0021700373
8127,0021700373
8128,0021700380
8129,0021700380
8130,0021700383
8131,0021700383
8132,0021700376
8133,0021700376
8134,0021700375
8135,0021700375
8136,0021700379
8137,0021700379
8138,0021700384
8139,0021700384
8140,0021700381
8141,0021700381
8142,0021700378
8143,0021700378
8144,0021700377
8145,0021700377
8146,0021700382
8147,0021700382
8148,0021700390
8149,0021700390
8150,0021700386
8151,0021700386
8152,0021700387
8153,0021700387
8154,0021700385
8155,0021700385
8156,0021700388
8157,0021700388
8158,0021700389
8159,0021700389
8160,0021700395
8161,0021700395
8162,0021700391
8163,0021700391
8164,0021700396
8165,0021700396
8166,0021700392
8167,0021700392
8168,0021700393
8169,0021700393
8170,0021700394
8171,0021700394
8172,0021700399
8173,0021700399
8174,0021700400
8175,0021700400
8176,0021700397
8177,0021700397
8178,0021700398
8179,0021700398
8180,0021700402
8181,0021700402
8182,0021700403
8183,0021700403
8184,0021700401
8185,0021700401
8186,0021700409
8187,0021700409
8188,0021700411
8189,0021700411
8190,0021700407
8191,0021700407
8192,0021700405
8193,0021700405
8194,0021700412
8195,0021700412
8196,0021700408
8197,0021700408
8198,0021700404
8199,0021700404
8200,0021700406
8201,0021700406
8202,0021700410
8203,0021700410
8204,0021700417
8205,0021700417
8206,0021700414
8207,0021700414
8208,0021700415
8209,0021700415
8210,0021700413
8211,0021700413
8212,0021700416
8213,0021700416
8214,0021700421
8215,0021700421
8216,0021700423
8217,0021700423
8218,0021700420
8219,0021700420
8220,0021700428
8221,0021700428
8222,0021700426
8223,0021700426
8224,0021700419
8225,0021700419
8226,0021700427
8227,0021700427
8228,0021700418
8229,0021700418
8230,0021700422
8231,0021700422
8232,0021700424
8233,0021700424
8234,0021700425
8235,0021700425
8236,0021700435
8237,0021700435
8238,0021700431
8239,0021700431
8240,0021700433
8241,0021700433
8242,0021700430
8243,0021700430
8244,0021700432
8245,0021700432
8246,0021700429
8247,0021700429
8248,0021700434
8249,0021700434
8250,0021700436
8251,0021700436
8252,0021700439
8253,0021700439
8254,0021700438
8255,0021700438
8256,0021700437
8257,0021700437
8258,0021700440
8259,0021700440
8260,0021700449
8261,0021700449
8262,0021700450
8263,0021700450
8264,0021700444
8265,0021700444
8266,0021700445
8267,0021700445
8268,0021700442
8269,0021700442
8270,0021700443
8271,0021700443
8272,0021700448
8273,0021700448
8274,0021700446
8275,0021700446
