,id,season,salary,PLAYER_AGE_y,RAPM,POSITION_Center,POSITION_Center-Forward,POSITION_Forward,POSITION_Forward-Center,POSITION_Forward-Guard,POSITION_Guard,POSITION_Guard-Forward,HEIGHT_METER,WEIGHT_KG,DRAFT_NUMBER,DRAFT_YEAR,GP,GS,PTS,AST,STL,BLK,TOV,PF,OREB,DREB,MIN,FG_PCT,FGA,FG3_PCT,FG3A,FT_PCT,FTA,ROOKIE,ROOKIE_AGE,FROM_US,coef_perc_rank,Undrafted,Undrafted_Rookie,log_rapm,RAPM_2,log_rapm_2,log_salary,PLAYER_AGE,PLAYER_AGE_2,BMI,log_BMI,next_season_salary,season_merge,log_next_season_salary,DISPLAY_FIRST_LAST
21,203460.0,2016/17,2183072.0,25.0,1.58,0,0,0,0,0,0,1,2.01,95.25,26.0,2013,79,79,6.6,1.0,1.2,1.0,0.6,2.6,1.2,3.9,30.1,0.4639999999999999,5.9,0.245,2.3,0.423,1.4,0.0,,1,9.65,0.0,0.0,0.9477893989335261,2.4964000000000004,1.251733867724196,14.59624407519285,25.0,625.0,23.576149105220175,3.2017764240537976,9259260.0,2016/17,16.041134797822174,Andre Roberson
22,101106.0,2016/17,11410378.0,,-0.19,1,0,0,0,0,0,0,2.13,117.93,1.0,2005,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,11.02,0.0,,-0.21072103131565262,0.0361,0.03546366427556904,16.250033937763376,,,25.993519804271646,3.295596829948782,1078810.0,2016/17,13.891370066710374,Andrew Bogut
23,1626150.0,2016/17,945.0,,-0.31,0,0,0,0,0,1,0,1.98,96.62,44.0,2015,72,18,5.9,2.8,0.7,0.3,1.2,2.7,0.3,1.6,20.5,0.325,5.0,0.276,2.2,0.763,2.7,,,1,60.66,0.0,,-0.37106368139083196,0.0961,0.09175842523954066,6.852242569051878,,,24.64544434241404,3.2443659473596407,1312611.0,2016/17,14.087529603140567,Andrew Harrison
24,203094.0,2016/17,6088993.0,,-1.85,0,0,1,0,0,0,0,2.06,113.4,19.0,2012,10,0,3.0,0.3,0.5,0.0,0.6,1.8,0.4,2.3,11.1,0.382,3.4,0.182,1.1,1.0,0.2,,,0,39.25,0.0,,,3.4225000000000003,1.4867051470518033,15.621993437206747,,,26.722594023941937,3.3222477494506983,,,,Andrew Nicholson
25,203952.0,2016/17,6006600.0,22.0,0.61,0,0,1,0,0,0,0,2.01,89.36,1.0,2014,82,82,23.6,2.3,1.0,0.4,2.3,2.2,1.2,2.8,37.2,0.452,19.1,0.356,3.5,0.76,6.6,0.0,,0,5.83,0.0,0.0,0.4762341789963716,0.3721,0.31634241294499243,15.608369589119151,22.0,484.0,22.11826439939606,3.1406229717560668,7574322.0,2016/17,15.840274532428415,Andrew Wiggins
26,203461.0,2016/17,1015696.0,,-0.83,0,0,1,0,0,0,0,2.03,106.59,1.0,2013,23,1,5.0,0.5,0.2,0.1,0.5,0.8,1.1,2.3,11.5,0.413,4.0,0.271,2.1,0.722,1.6,,,0,26.05,0.0,,-1.771956841931875,0.6889,0.5240774294417385,13.83108563429519,,,25.865708947074676,3.2908507130778832,,,,Anthony Bennett
27,1626148.0,2016/17,1023838.0,,0.07,0,0,0,0,1,0,0,2.01,101.6,34.0,2015,2,0,4.5,1.0,0.0,0.0,0.5,1.0,1.0,2.5,8.2,0.444,4.5,0.3329999999999999,1.5,0.0,0.0,,,1,76.05,0.0,,0.06765864847381481,0.004900000000000001,0.004888034072775963,13.839069845657699,,,25.147892378901517,3.263768589897647,77250.0,2016/17,11.254815139660025,Anthony Brown
28,203076.0,2016/17,22116750.0,24.0,1.56,0,0,0,1,0,0,0,2.08,114.76,1.0,2012,75,75,28.0,2.1,1.3,2.2,2.4,2.2,2.3,9.5,36.1,0.505,20.3,0.299,1.8,0.802,8.6,0.0,,1,71.95,0.0,0.0,0.9400072584914712,2.4336,1.2336092734542423,16.911845843179396,24.0,576.0,26.52551775147929,3.3151134926581474,23775506.0,2016/17,16.98416649108949,Anthony Davis
29,201627.0,2016/17,3488000.0,,-0.26,0,0,0,0,0,1,0,1.96,95.25,61.0,Undrafted,9,0,4.6,0.7,0.2,0.0,0.0,0.4,0.1,0.1,9.7,0.414,3.2,0.429,1.6,1.0,1.2,,,1,21.95,1.0,,-0.3011050927839216,0.06760000000000001,0.06541313854823202,15.064839350708214,,,24.794356518117453,3.250155728392724,,,,Anthony Morrow
30,201229.0,2016/17,8000000.0,32.0,-0.09,0,0,1,0,0,0,0,2.03,108.86,61.0,Undrafted,65,9,7.1,1.2,0.5,0.3,0.9,1.7,0.8,2.9,22.7,0.442,5.4,0.391,3.5,0.7440000000000001,1.3,0.0,,1,46.27,1.0,0.0,-0.09431067947124132,0.0081,0.008067371077758796,15.894952224644102,32.0,1024.0,26.416559489431926,3.3111471917696793,5290000.0,2016/17,15.481328992870381,Anthony Tolliver
